flow_lpm,pulse,error_percent,pulse_min,pulse_max
2,15,1.02,14.7,15.3
2.1,15.75,1.021,15.4,16.1
2.2,16.5,1.022,16.2,16.8
2.3,17.25,1.023,16.9,17.6
2.4,18,1.024,17.6,18.4
2.5,18.75,1.025,18.4,19.1
2.6,19.5,1.026,19.1,19.9
2.7,20.25,1.027,19.8,20.7
2.8,21,1.028,20.6,21.4
2.9,21.75,1.029,21.3,22.2
3,22.5,1.03,22.1,23
3.1,23.25,1.031,22.8,23.7
3.2,24,1.032,23.5,24.5
3.3,24.75,1.033,24.3,25.2
3.4,25.5,1.034,25,26
3.5,26.25,1.035,25.7,26.8
3.6,27,1.036,26.5,27.5
3.7,27.75,1.037,27.2,28.3
3.8,28.5,1.038,27.9,29.1
3.9,29.25,1.039,28.7,29.8
4,30,1.04,29.4,30.6
4.1,30.75,1.041,30.1,31.4
4.2,31.5,1.042,30.9,32.1
4.3,32.25,1.043,31.6,32.9
4.4,33,1.044,32.3,33.7
4.5,33.75,1.045,33.1,34.4
4.6,34.5,1.046,33.8,35.2
4.7,35.25,1.047,34.5,36
4.8,36,1.048,35.3,36.7
4.9,36.75,1.049,36,37.5
5,37.5,1.05,36.8,38.3
5.1,38.25,1.051,37.5,39
5.2,39,1.052,38.2,39.8
5.3,39.75,1.053,39,40.5
5.4,40.5,1.054,39.7,41.3
5.5,41.25,1.055,40.4,32.1
5.6,42,1.056,41.2,42.8
5.7,42.75,1.057,41.9,43.6
5.8,43.5,1.058,42.6,44.4
5.9,44.25,1.059,43.4,45.1
6,45,1.06,44.1,45.9
6.1,45.8,3.2,44.4,47.1
6.2,46.5,3.3,45.1,47.9
6.3,47.3,3.4,45.8,48.7
6.4,48,3.5,46.6,49.4
6.5,48.8,3.6,47.3,50.2
6.6,49.5,3.7,48,51
6.7,50.3,3.8,48.7,51.8
6.8,51,3.9,49.5,52.5
6.9,51.8,3.1,50.2,53.3
7,52.5,3.11,50.9,54.1
7.1,53.3,3.12,51.7,54.8
7.2,54,3.13,52.4,55.6
7.3,54.8,3.14,53.1,56.4
7.4,55.5,3.15,53.8,57.2
7.5,56.3,3.16,54.6,57.9
7.6,57,3.17,55.3,58.7
7.7,57.8,3.18,56,59.5
7.8,58.5,3.19,56.7,60.3
7.9,59.3,3.2,57.5,61
8,60,3.21,58.2,61.8
8.1,60.8,3.22,58.9,62.6
8.2,61.5,3.23,59.7,63.3
8.3,62.3,3.24,60.4,64.1
8.4,63,3.25,61.1,64.9
8.5,63.8,3.26,61.8,65.7
8.6,64.5,3.27,62.6,66.4
8.7,65.3,3.28,63.3,67.2
8.8,66,3.29,64,68
8.9,66.8,3.3,64.7,68.8
9,67.5,3.31,65.5,69.5
9.1,68.3,3.32,66.2,70.3
9.2,69,3.33,66.9,71.1
9.3,69.8,3.34,67.7,71.8
9.4,70.5,3.35,68.4,72.6
9.5,71.3,3.36,69.1,73.4
9.6,72,3.37,69.8,74.2
9.7,72.8,3.38,70.6,74.9
9.8,73.5,3.39,71.3,75.7
9.9,74.3,3.4,72,76.5
10,75,3.41,72.8,77.3